course_url,course_name,absoulte_url
/course/novoed-constructive-classroom-conversations-mastering-language-for-college-and-career-readiness-elementary-1855,Constructive Classroom Conversations: Mastering Language for College and Career Readiness (Elementary),https://www.classcentral.com/course/novoed-constructive-classroom-conversations-mastering-language-for-college-and-career-readiness-elementary-1855
/course/novoed-supporting-english-language-learners-under-new-standards-2457,Supporting English Language Learners under New Standards,https://www.classcentral.com/course/novoed-supporting-english-language-learners-under-new-standards-2457
/course/apcalcpart1-2663,Preparing for the AP* Calculus AB and BC Exams (Part 1 - Differential Calculus),https://www.classcentral.com/course/apcalcpart1-2663
/course/canvas-network-five-habits-of-highly-creative-teachers-2393,Five Habits of Highly Creative Teachers,https://www.classcentral.com/course/canvas-network-five-habits-of-highly-creative-teachers-2393
/course/desire2learn-teachers-web-2-0-creative-classrooms-2932,Teachers + Web 2.0 = Creative Classrooms,https://www.classcentral.com/course/desire2learn-teachers-web-2-0-creative-classrooms-2932
/course/canvas-network-getting-started-with-minecraftedu-2394,Getting Started with MinecraftEDU,https://www.classcentral.com/course/canvas-network-getting-started-with-minecraftedu-2394
/course/ccss-literacy1-880,Common Core in Action: Literacy in the Content Areas- Exploring Literacy Design Collaborative Template Tasks,https://www.classcentral.com/course/ccss-literacy1-880
/course/desire2learn-teachers-mobile-creative-classrooms-2931,Teachers + Mobile = Creative Classrooms,https://www.classcentral.com/course/desire2learn-teachers-mobile-creative-classrooms-2931
/course/rwaq---------3114,اختبار القدرات: كيف تحصل على درجة عالية؟,https://www.classcentral.com/course/rwaq---------3114
/course/edc-421,E-learning and Digital Cultures,https://www.classcentral.com/course/edc-421
